date,team_a,team_b,goals_a,goals_b,competition,location
2026-06-11 19:00:00+00:00,Mexico,South Africa,2,0,FIFA World Cup,Mexico City Stadium
2026-06-12 02:00:00+00:00,Korea Republic,Czechia,2,1,FIFA World Cup,Guadalajara Stadium
2026-06-12 19:00:00+00:00,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup,Toronto Stadium
2026-06-13 01:00:00+00:00,USA,Paraguay,4,1,FIFA World Cup,Los Angeles Stadium
2026-06-13 19:00:00+00:00,Qatar,Switzerland,1,1,FIFA World Cup,San Francisco Bay Area Stadium
2026-06-13 22:00:00+00:00,Brazil,Morocco,1,1,FIFA World Cup,New York/New Jersey Stadium
2026-06-14 01:00:00+00:00,Haiti,Scotland,0,1,FIFA World Cup,Boston Stadium
2026-06-14 04:00:00+00:00,Australia,Türkiye,2,0,FIFA World Cup,BC Place Vancouver
2026-06-14 17:00:00+00:00,Germany,Curaçao,7,1,FIFA World Cup,Houston Stadium
2026-06-14 20:00:00+00:00,Netherlands,Japan,2,2,FIFA World Cup,Dallas Stadium
2026-06-14 23:00:00+00:00,Côte d'Ivoire,Ecuador,1,0,FIFA World Cup,Philadelphia Stadium
2026-06-15 02:00:00+00:00,Sweden,Tunisia,5,1,FIFA World Cup,Monterrey Stadium
2026-06-15 16:00:00+00:00,Spain,Cabo Verde,0,0,FIFA World Cup,Atlanta Stadium
2026-06-15 19:00:00+00:00,Belgium,Egypt,1,1,FIFA World Cup,Seattle Stadium
2026-06-15 22:00:00+00:00,Saudi Arabia,Uruguay,1,1,FIFA World Cup,Miami Stadium
2026-06-16 01:00:00+00:00,IR Iran,New Zealand,2,2,FIFA World Cup,Los Angeles Stadium
2026-06-16 19:00:00+00:00,France,Senegal,3,1,FIFA World Cup,New York/New Jersey Stadium
2026-06-16 22:00:00+00:00,Iraq,Norway,1,4,FIFA World Cup,Boston Stadium
2026-06-17 01:00:00+00:00,Argentina,Algeria,3,0,FIFA World Cup,Kansas City Stadium
2026-06-17 04:00:00+00:00,Austria,Jordan,3,1,FIFA World Cup,San Francisco Bay Area Stadium
2026-06-17 17:00:00+00:00,Portugal,Congo DR,1,1,FIFA World Cup,Houston Stadium
2026-06-17 20:00:00+00:00,England,Croatia,4,2,FIFA World Cup,Dallas Stadium
2026-06-17 23:00:00+00:00,Ghana,Panama,1,0,FIFA World Cup,Toronto Stadium
2026-06-18 02:00:00+00:00,Uzbekistan,Colombia,1,3,FIFA World Cup,Mexico City Stadium
2026-06-18 16:00:00+00:00,Czechia,South Africa,1,1,FIFA World Cup,Atlanta Stadium
2026-06-18 19:00:00+00:00,Switzerland,Bosnia and Herzegovina,4,1,FIFA World Cup,Los Angeles Stadium
2026-06-18 22:00:00+00:00,Canada,Qatar,6,0,FIFA World Cup,BC Place Vancouver
2026-06-19 01:00:00+00:00,Mexico,Korea Republic,1,0,FIFA World Cup,Guadalajara Stadium
2026-06-19 19:00:00+00:00,USA,Australia,2,0,FIFA World Cup,Seattle Stadium
2026-06-19 22:00:00+00:00,Scotland,Morocco,0,1,FIFA World Cup,Boston Stadium
2026-06-20 01:00:00+00:00,Brazil,Haiti,3,0,FIFA World Cup,Philadelphia Stadium
2026-06-20 04:00:00+00:00,Türkiye,Paraguay,0,1,FIFA World Cup,San Francisco Bay Area Stadium
2026-06-20 17:00:00+00:00,Netherlands,Sweden,5,1,FIFA World Cup,Houston Stadium
2026-06-20 20:00:00+00:00,Germany,Côte d'Ivoire,2,1,FIFA World Cup,Toronto Stadium
2026-06-21 00:00:00+00:00,Ecuador,Curaçao,0,0,FIFA World Cup,Kansas City Stadium
2026-06-21 04:00:00+00:00,Tunisia,Japan,0,4,FIFA World Cup,Monterrey Stadium
2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,4,0,FIFA World Cup,Atlanta Stadium
2026-06-21 19:00:00+00:00,Belgium,IR Iran,0,0,FIFA World Cup,Los Angeles Stadium
