slot,team_a,team_b,date,goals_a,goals_b,pred_a,pred_b,pred_la,pred_lb,winner
R32_03,South Africa,Canada,2026-06-28,0,1,0,2,0.520395365466049,2.4266241535937514,
R32_01,Germany,Paraguay,2026-06-29,1,1,1,0,1.757017571109269,0.5904473552048659,Paraguay
R32_04,Netherlands,Morocco,2026-06-29,1,1,2,0,1.932347218412388,0.7267155015843747,Morocco
R32_09,Brazil,Japan,2026-06-29,2,1,2,0,1.876166187007591,0.7830817108284224,
R32_02,France,Sweden,2026-06-30,3,0,3,0,2.8868541412497275,0.5223624331919424,France
R32_10,Côte d'Ivoire,Norway,2026-06-30,1,2,0,2,0.6589867151869774,2.559404802593695,Norway
R32_11,Mexico,Ecuador,2026-06-30,2,0,1,0,1.6987872103778623,0.8507029053108013,Mexico
R32_07,USA,Bosnia and Herzegovina,2026-07-01,2,0,2,0,2.258929156405,0.4463556688316661,USA
R32_08,Belgium,Senegal,2026-07-01,3,2,1,0,1.5541334924216184,0.6991590605208331,Belgium
R32_12,England,Congo DR,2026-07-01,2,1,3,1,3.006718584009297,0.5627839544650982,England
